Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.54468891259779,5.55768961400965,16.0525353030392,-2.81469807668465,-0.686772170797359,7.32110643415521,8.40453845076341,18.8008786664945,26.9414835762453
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.442,1.347,1.247,1.146,1.043,1.03,1.118,0.915,0.921
Burundi,BDI,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1749857620.35329,1824764034.95256,1907814790.72833,1978536809.33193,2116002110.92756,1675762033.71886,1793627260.88123,2077803747.08658,2191572559.72877
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.131187999024545,-1.40781637091706,0.784415251101334,1.25699566690509,1.10666674296063,0.605795808395385,1.86215297494647,7.93092925430087,3.72437517668748
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.907,12.077,12.24,12.17,12.128,14.69,13.976,12.246,11.971
Cabo Verde,CPV,Deposit interest rate (%),FR.INR.DPST,2.86788102766268,2.63376353974346,2.53002894927361,1.85551812875393,1.46457733044495,0.883783174786747,0.669166293015715,0.97008581189878,0.760144067244663
Cambodia,KHM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,24174170369.0738,26085259688.3373,28191654621.9478,30665817313.8491,33099747942.811,31922812945.0881,32909177695.673,34588654431.0863,36304274723.1727
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.22393195511119,3.01913975139128,2.91263557371478,2.45908515380146,1.94257500833107,2.9402951426397,2.92073477592949,5.34370264895437,2.12746796594194
Cambodia,KHM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.393,0.716,0.141,0.13,0.119,0.172,0.396,0.231,0.225
Cambodia,KHM,Deposit interest rate (%),FR.INR.DPST,1.41877083333333,1.43699166666667,1.52522321428571,1.37611111111111,1.43527777777778,1.48833333333333,1.39824074074074,1.49600505050505,1.51159090909091
Cameroon,CMR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,32210233020.4569,33671222913.4548,34863580363.1151,36242614248.5756,37502066832.7403,37599547048.5841,38854942334.5769,40306867605.1364,41616173714.8732
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.676235314199,0.874190383288856,0.64040914988195,1.0688581131292,2.45280214062732,2.43760882182236,2.27185762503637,6.24767713343861,7.38281384280984
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.518,3.528,3.568,3.601,3.622,3.87,3.973,3.653,3.613
Cameroon,CMR,Deposit interest rate (%),FR.INR.DPST,2.45,2.45,2.45,2.45,..,..,..,..,..
Canada,CAN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1556508816217.14,1572673953080.04,1620386284372.81,1664832887596.13,1696605089927.38,1611126164920.14,1696305710720.04,1761102321572.64,1783097209318.73
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.12524136094277,1.42875954701085,1.59688412852977,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426
